name,neighbourhood_name,latitude,longitude,room_type,bathrooms,bedrooms,price,last_review_date,review_scores_rating,country,city,insert_date
Sunny Studio & 30mt Terrace-Estudio y terraza 30mt,Cuatro caminos,"40,45193","-3,69901",Entire home/apt,"1,0","1,0","49,0",2019-09-16,"97,0",España,Madrid,2019-09-19
"Pretty flat in ""las letras"" for 1or2.",Cortes,"40,4107","-3,6945",Entire home/apt,"1,0","1,0","48,0",2019-03-03,"90,0",España,Madrid,2019-03-08
Santa Paula Pool & Luxury nº 6,San julián,"37,39579","-5,98682",Entire home/apt,"1,0","1,0","120,0",2019-09-16,"90,0",España,Sevilla,2019-09-30
"Cozy small Villa 2, Puerto Pollensa",Pollença,"39,88478","3,06665",Entire home/apt,"2,0","2,0","125,0",2019-10-09,"87,0",España,Mallorca,2020-05-28
GAYFRIENDLY ROOM IN PLAZA CATALUNYA,La dreta de l'eixample,"41,3868516037888","2,1695146537077385",Private room,"1,0","1,0","50,0",2017-02-20,"91,0",España,Barcelona,2017-03-06
MalagadeVacaciones-Honduras,Cruz de humilladero,"36,71892","-4,43537",Entire home/apt,"1,0","0,0","45,0",2019-08-17,"95,0",España,Malaga,2019-09-01
Superbe appartement vue imprenable sur la mer,Llançà,"42,35751","3,16276",Entire home/apt,"1,0","2,0","67,0",2019-08-31,"93,0",España,Girona,2020-06-29
Habitación individual y confortable en Argüelles,Argüelles,"40,43224","-3,72198",Private room,"1,0","1,0","45,0",2019-11-24,"97,0",España,Madrid,2020-04-17
Private room in penthouse in the heart of Chueca,Justicia,"40,42312","-3,69734",Private room,"1,0","1,0","70,0",2019-04-23,"99,0",España,Madrid,2019-05-14
NICE ROOM IN THE OLD CITY CENTER!!!,El barri gòtic,"41,38272","2,17642",Private room,"2,0","1,0","24,0",2019-05-04,"89,0",España,Barcelona,2019-05-14
Mas Gelamà - 18th century masia in a vineyard,Vilajuïga,"42,32746","3,09086",Entire home/apt,"3,0","3,0","195,0",2019-08-15,"70,0",España,Girona,2019-12-31
Modern apartment just on the beach of Pinewalk.,Pollença,"39,9106","3,08704",Entire home/apt,"2,0","3,0","214,0",2019-10-04,"83,0",España,Mallorca,2020-03-22
Big House with Big Yard and Parking in Mahon,Mahón,"39,88799339405597","4,265635957340335",Entire home/apt,"3,0","4,0","150,0",2016-08-17,"90,0",España,Menorca,2018-04-21
"Oasis de paz, 10’ from IFEMA and Madrid center",Piovera,"40,45462","-3,62827",Entire home/apt,"4,0","4,0","350,0",2019-10-03,"100,0",España,Madrid,2020-01-10
Olivia Luxury Apartment,La dreta de l'eixample,"41,39161681490863","2,161190087967701",Entire home/apt,"2,0","2,0","250,0",2016-10-23,"80,0",España,Barcelona,2017-01-04
Appar 6 à 8 couchages avec piscine dans res,Lloret de mar,"41,70524","2,85275",Entire home/apt,"2,0","2,0","60,0",2018-09-30,"90,0",España,Girona,2019-02-19
Olala Color Apartment 1B,San diego,"40,39555","-3,66844",Entire home/apt,"1,0","1,0","49,0",2020-03-01,"89,0",España,Madrid,2020-05-14
the white house,El barri gòtic,"41,381909974897205","2,180588592068245",Entire home/apt,"1,0","1,0","110,0",2017-10-15,"77,0",España,Barcelona,2018-01-17
Perfect place for beach holiday.,Roses,"42,26221","3,15147",Entire home/apt,"1,0","1,0","96,0",2019-08-10,"100,0",España,Girona,2019-08-31
preciosa casa con terraza en valencia capital,Benicalap,"39,49274","-0,39641",Entire home/apt,"1,0","3,0","37,0",2020-08-13,"89,0",España,Valencia,2020-08-30
Casa Mediterránea en Ciutadella,Ciutadella de menorca,"40,001237318221655","3,832332846086656",Entire home/apt,"2,0","3,0","300,0",2018-07-16,"100,0",España,Menorca,2018-08-29
THE PENTHOUSE - Unique in Eixample near Camp Nou,La nova esquerra de l'eixample,"41,38525","2,143",Entire home/apt,"1,0","2,0","82,0",2019-06-03,"100,0",España,Barcelona,2021-02-09
AWESOME SEA VIEWS IN BARCELONA,Diagonal mar i el front marítim del poblenou,"41,40277","2,212",Entire home/apt,"3,0","4,0","350,0",2019-03-04,"84,0",España,Barcelona,2021-02-09
